FID,Shape *,OBJECTID,Path,Name,DateTime,Direction,Ket,Kelas,X,Y,RASTERVALU
59,Point ZM,60,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903042605.jpg,20250903042605.jpg, ,-9999,Tidak Banjir,0,120.001525,-5.329364,-9999
60,Point ZM,61,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903061803.jpg,20250903061803.jpg, ,-9999,Banjir,1,120.163858,-5.544689,0.264934
61,Point ZM,62,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903085302.jpg,20250903085302.jpg, ,-9999,Banjir,1,120.148536,-5.565606,0.49599
62,Point ZM,63,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903085348.jpg,20250903085348.jpg, ,-9999,Banjir,1,120.148572,-5.565558,0.444778
63,Point ZM,64,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903085823.jpg,20250903085823.jpg, ,-9999,Banjir,1,120.128556,-5.572033,-9999
64,Point ZM,65,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\tanah longsor Shapefile\tanah longsor Shapefile\photos\20250903085948.jpg,20250903085948.jpg, ,-9999,Banjir,1,120.128508,-5.572025,-9999
65,Point ZM,66,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\banjir Shapefile\banjir Shapefile\photos\20250902024029.jpg,20250902024029.jpg, ,-9999,Banjir,1,120.255889,-5.527033,0.119646
66,Point ZM,67,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\banjir Shapefile\banjir Shapefile\photos\20250902024051.jpg,20250902024051.jpg, ,-9999,Banjir,1,120.255892,-5.527028,0.119646
67,Point ZM,68,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\banjir Shapefile\banjir Shapefile\photos\20250902024101.jpg,20250902024101.jpg, ,-9999,Banjir,1,120.255892,-5.527028,0.119646
68,Point ZM,69,E:\KRB BULUKUMBA\KRB\KRB BULUKUMBA\VALIDASI DATA\SURVEY BULUKUMBA BERSAMA BPBD\banjir Shapefile\banjir Shapefile\photos\20250902024900.jpg,20250902024900.jpg, ,-9999,Banjir,1,120.265947,-5.521008,-9999
